Registro,"Dureza, puntual",UGM1,UGM2,UGM3,%Grueso,%Intermedio,%Fino
1,8.433,56.76,27.74,15.50,30.93,19.15,49.91
2,8.680,58.47,25.01,16.52,33.87,14.69,51.45
3,7.839,69.32,15.65,15.03,35.12,15.80,49.08
4,8.386,64.60,26.13,9.27,40.26,14.63,45.11
5,8.727,61.94,21.67,16.39,38.14,16.62,45.24
6,8.860,58.77,34.08,7.15,40.57,14.28,45.14
7,8.854,60.74,36.67,2.59,34.98,18.09,46.94
8,8.852,61.85,35.62,2.53,36.89,17.90,45.21
9,7.980,78.20,12.98,8.82,33.45,15.65,50.90
10,8.544,55.96,27.70,16.34,29.80,17.06,53.15
11,8.924,27.68,44.55,27.77,35.98,17.53,46.49
12,8.805,55.99,22.77,21.24,33.34,17.67,48.99
13,8.892,45.41,44.19,10.40,28.73,15.31,55.96
14,8.971,47.43,48.08,4.50,39.69,15.94,44.37
15,9.111,34.07,58.79,7.14,43.55,16.53,39.92
16,9.053,39.74,52.97,7.29,42.88,16.14,40.98
17,9.626,24.36,58.03,17.61,44.56,16.39,39.05
18,9.301,35.12,36.47,28.41,41.30,16.41,42.29
19,9.525,32.70,39.67,27.63,44.25,16.61,39.14
20,9.115,43.77,28.59,27.64,44.31,15.44,40.25
21,9.566,27.64,31.53,40.83,41.19,16.03,42.78
22,9.267,39.96,42.80,17.24,39.78,17.42,42.79
23,10.034,23.61,52.92,23.48,46.55,17.05,36.41
24,8.778,34.46,41.23,24.31,46.43,17.09,36.49
25,7.488,40.28,33.81,25.92,43.39,15.73,40.89
26,7.942,53.81,35.05,11.13,42.40,16.75,40.86
27,8.939,57.36,39.22,3.42,40.07,24.62,35.31
28,9.009,44.87,43.54,11.59,44.26,23.84,31.91
29,9.572,31.82,65.67,2.51,44.06,24.31,31.63
30,9.678,27.37,72.63,0.00,40.52,24.79,34.68
31,9.859,28.85,71.15,0.00,38.07,27.23,34.70
32,9.031,50.73,49.27,0.00,33.37,27.06,39.57
33,8.751,63.19,36.81,0.00,33.08,26.83,40.09
34,8.746,63.92,35.98,0.10,29.93,25.89,44.18
35,8.941,57.06,38.00,4.94,36.17,25.59,38.24
36,8.718,61.98,38.02,0.00,36.75,25.52,37.73
37,7.989,52.19,47.07,0.74,39.35,26.01,34.64
38,9.129,49.28,44.29,6.43,35.58,27.73,36.69
39,9.706,30.58,57.08,12.34,40.34,27.77,31.90
40,8.622,58.49,35.58,5.92,37.48,28.07,34.45
41,8.907,51.79,41.72,6.49,23.93,23.16,52.91
42,9.233,49.98,24.06,25.96,24.85,20.52,54.62
43,8.582,59.76,34.72,5.53,18.31,21.48,60.21
44,8.575,64.08,25.39,10.53,12.61,21.08,66.31
45,8.922,55.14,36.46,8.40,19.07,23.72,57.21
46,9.005,47.79,38.97,13.24,26.54,23.81,49.64
47,8.983,50.57,30.14,19.29,23.91,22.13,53.96
48,8.663,48.88,29.34,21.78,13.73,19.80,66.47
49,9.262,42.90,34.72,22.38,18.12,20.82,61.06
50,9.582,37.79,20.68,41.52,22.25,24.95,52.80
51,9.200,50.40,28.36,21.23,26.99,25.08,47.93
52,9.107,49.64,32.62,17.74,27.89,26.62,45.48
53,8.972,45.70,27.08,27.22,24.76,23.83,51.42
54,9.802,56.15,26.26,17.59,25.13,22.07,52.80
55,8.463,68.80,25.38,5.82,23.27,18.85,57.87
56,8.609,48.14,41.67,10.19,24.61,19.13,56.26
57,8.545,58.72,28.94,12.33,21.48,20.06,58.46
58,8.978,44.65,49.30,6.05,21.08,22.53,56.39
59,8.822,47.56,42.22,10.22,23.54,21.55,54.91
60,8.919,52.24,20.56,27.20,26.52,25.01,48.47
61,7.759,71.76,8.88,19.36,27.79,23.38,48.84
62,8.492,56.62,19.75,23.63,26.44,28.15,45.41
63,7.975,75.36,17.03,7.61,24.26,27.53,48.22
64,8.238,56.80,27.21,15.99,27.01,28.29,44.70
65,7.721,57.75,25.21,17.04,22.45,27.01,50.54
66,7.412,68.35,24.18,7.47,22.68,25.70,51.62
67,8.302,50.17,29.54,20.29,29.82,25.54,44.63
68,8.449,46.64,40.39,12.97,18.37,28.28,53.35
69,8.247,52.70,18.99,28.31,12.45,30.89,56.66
70,8.166,58.16,19.16,22.68,12.29,26.99,60.72
71,8.287,41.19,48.22,10.58,18.23,27.93,53.84
72,9.294,36.31,56.14,7.55,16.59,34.16,49.25
73,8.955,44.53,44.95,10.52,16.98,35.06,47.96
74,9.044,36.30,47.79,15.90,16.26,33.99,49.75
75,10.237,30.48,52.24,17.28,16.46,35.85,47.69
76,9.105,42.94,37.80,19.26,16.49,34.81,48.70
77,9.111,42.02,29.04,28.94,14.26,34.10,51.64
78,9.239,29.87,55.74,14.39,16.10,38.62,45.28
79,8.925,43.67,29.28,27.05,15.97,36.72,47.31
80,9.137,38.05,22.49,39.47,13.71,35.88,50.41
81,9.480,27.83,45.87,26.30,12.26,37.22,50.52
82,9.350,34.47,41.58,23.96,12.44,37.55,50.01
83,9.305,31.15,41.05,27.80,13.39,36.85,49.76
84,9.533,20.59,59.24,20.17,15.39,38.81,45.80
85,9.924,24.65,55.47,19.88,18.04,40.31,41.65
86,10.277,16.14,42.47,41.39,18.01,37.99,44.00
87,9.617,36.32,30.57,33.11,17.84,37.90,44.26
88,9.470,36.98,43.76,19.26,20.92,39.42,39.66
89,9.904,17.16,66.81,16.03,20.14,40.85,39.02
90,9.922,23.21,52.76,24.03,20.69,39.64,39.68
91,10.031,25.33,41.77,32.89,20.08,37.11,42.81
92,9.896,33.58,21.62,44.80,13.81,36.75,49.44
93,9.936,22.90,24.67,52.43,16.38,38.35,45.27
94,9.551,28.46,20.67,50.87,16.31,38.06,45.64
95,9.862,23.98,24.04,51.99,13.21,26.92,59.87
96,9.831,31.57,18.21,50.21,14.13,33.63,52.24
97,9.640,28.08,26.75,45.17,16.27,35.83,47.90
98,9.121,44.74,17.03,38.23,19.95,37.81,42.25
99,8.749,53.07,21.86,25.08,21.67,36.23,42.10
100,9.020,43.63,34.24,22.13,15.23,34.79,49.98
101,8.668,39.89,36.34,23.77,16.30,35.52,48.18
102,9.173,37.09,31.34,31.57,16.84,36.40,46.75
103,9.377,30.64,35.52,33.84,15.59,36.25,48.15
104,9.030,43.47,22.78,33.76,13.92,30.65,55.43
105,9.523,28.64,34.74,36.62,13.93,33.67,52.40
106,9.265,21.58,48.83,29.59,11.79,32.83,55.38
107,9.464,26.54,41.93,31.53,14.42,31.78,53.80
108,9.243,30.88,47.66,21.46,16.66,31.70,51.63
109,9.401,16.58,52.37,31.05,20.86,33.00,46.14
110,9.578,21.01,57.06,21.93,21.56,30.23,48.21
111,9.618,28.06,49.48,22.46,20.91,29.09,50.00
112,9.756,22.93,36.23,40.84,25.20,32.81,41.99
